"","Flow_from_user","Flow_to_user","flow"
"303","daphinedndc","AshwinderRaj",0
"304","darjeelingtimes","chettri_prem",0
"305","darkdestinynme","ProfNKPandey",0
"306","das_prashant777","manoharparrikar",0
"307","das_prashant777","SaundiD",-1
"308","databaazi","bugs_punny",1
"309","datar1999","DATAR1999",0
"310","DATAR1999","datar1999",0
"311","daves_folly","macrodidact",0
"312","davinder2010","vishalvkumar",0
"313","DavisonVideo","rikkipoynter",0
"314","dcdecals1","PattySD51",0
"315","ddsez","Tweenvi",-1
"316","DDSez","sameer470",1
"317","deba2501","kumar_sumit",0
"318","debkanchan","JayKay074",0
"319","deeepakkher","iamsanumanna",1
"320","deepak_mvs","ZERCHapp",0
"321","deepakdv217","ChitrangBisht",0
"322","deepakkhatri812","IYC",0
"323","deepakkhatri812","TS_SinghDeo",-1
"324","deepaknegi23","braveindianmax",1
"325","deepasidharth","banknomics",0
"326","deepJM9","dipenpatel_20",0
"327","demonetizationn","manojrammoorthy",0
"328","denisvtjsp","StateBank_Pak",0
"329","desaihirvita","r0zmtvwcfwwfr7p",0
"330","deshneeti","ArnabGoswamiTv",-1
"331","DesiUvach","wavehit",1
"332","devadasrajaram","ACJIndia",0
"333","devn29","yugaparivartan",-1
"334","DevPathways","heinersalomon",0
"335","devyanidilli","FastNewsDelhi",0
"336","dgogoi","avi0074",0
"337","Dhakad_VSL","atlantesindia",1
"338","Dhananter_singh","kejri420",0
"339","dhanbiogr","tsezarlilms",0
"340","dharambaskar","Satyapriyan",0
"341","dharamsahab","TheJeonsa",-1
"342","dhrubajitsenap3","GauravGogoiAsm",0
"343","dhrumilpatel","anuuragjain",1
"344","dhruvbhim","arvindsubraman",-1
"345","dhruvbhim","CGDev",-1
"346","dhruvbhim","KiranKS",-1
"347","dhruvbhim","SanaSecurities",-1
"348","dhruvbhim","sandipsabharwal",-1
"349","dhruvbhim","smarket",-1
"350","dhyani0709","aapkarajiv",0
"351","diamondtile2","getongab",0
"352","dibang","gizelethakral",0
"353","didactdude","agentdice",0
"354","differotically","SimplyShilpi_89",0
"355","digipankazz","newspatrolling",0
"356","digitindia","myscribblings",0
"357","dillichat","Busvine",0
"358","dingbong","sbcltr",0
"359","dinyrose31","RAJUPAUNIKAR",0
"360","dipenpatel_20","deepJM9",0
"361","Divya_Agarwall","bhardwaj9649612",0
"362","divya_legal","ParichayLegal",0
"363","DKMahant","aaplogical",1
"364","DKMahant","arun2981",1
"365","dkomal_kd","_Kirtibhairav",0
"366","Dmonetisation","aashish81us",1
"367","dnishesh","silvanfokin4",0
"368","docstl","FedoraDaExplora",-1
"369","doga_uncle","sunil131415",0
"370","dpurkayastha","dpurkayastha",0
"371","dpurkayastha","dpurkayastha",0
"372","drcharansingh2","iamyudhvir",0
"373","DrJitendraSingh","chaitanyashree",0
"374","dropandlob","sidvee",0
"375","drshraddha16","bengaleebabu",0
"376","drvds59","trickydonor",0
"377","dsgiri","porinju",-1
"378","dwijog","CashlessChronic",0
"379","DyingConsciousn","vinoohora",1
"380","econofpak","irfantariq",0
"381","economistdk","bcasglobal",0
"382","ekaurat","SBengali",0
"383","ElectionCmsn","theablamard",0
