username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Unmai_Pithan;2017-01-05 23:17;0;0;"if no #Jallikattu - #BoycottTheatres (Hit them-where it pains) common manku kandukatha media uvm kutaum eepudi varum parunga pic.twitter.com/zidd347ZAq";;;#Jallikattu #BoycottTheatres;"817065103191314432";https://twitter.com/Unmai_Pithan/status/817065103191314432
Unmai_Pithan;2017-01-05 23:17;0;0;"if no #Jallikattu - #BoycottTheatres (Hit them-where it pains) common manku kandukatha media uvm kutaum eepudi varum parunga pic.twitter.com/GHt8ANbm68";;;#Jallikattu #BoycottTheatres;"817064988883947521";https://twitter.com/Unmai_Pithan/status/817064988883947521
Nachammalganes1;2017-01-05 23:17;0;0;"@arya_offl Heard that u asked wat is #jallikattu .who do u think u are.notorious for ur picking up abilities.u seriously need some education";;@arya_offl;#jallikattu;"817064961247580160";https://twitter.com/Nachammalganes1/status/817064961247580160
HariHhhh;2017-01-05 23:16;0;1;"leave this useless talks and support #jallikattu";;;#jallikattu;"817064825708609536";https://twitter.com/HariHhhh/status/817064825708609536
Unmai_Pithan;2017-01-05 23:16;0;0;"if no #Jallikattu - #BoycottTheatres (Hit them-where it pains) common manku kandukatha media uvm kutaum eepudi varum parunga pic.twitter.com/QQTsJmqsF6";;;#Jallikattu #BoycottTheatres;"817064782385717248";https://twitter.com/Unmai_Pithan/status/817064782385717248
Unmai_Pithan;2017-01-05 23:15;0;0;"if no #Jallikattu - #BoycottTheatres (Hit them-where it pains) common manku kandukatha media uvm kutaum eepudi varum parunga pic.twitter.com/rx3kWuUNmH";;;#Jallikattu #BoycottTheatres;"817064574688043008";https://twitter.com/Unmai_Pithan/status/817064574688043008
Unmai_Pithan;2017-01-05 23:13;0;0;"If no #Jallikattu - #BoycottTheatres (Hit them-where it pains) common man kandukatha media uvm kutamum tana varum parunga pic.twitter.com/MA5voqMMRQ";;;#Jallikattu #BoycottTheatres;"817064008796737542";https://twitter.com/Unmai_Pithan/status/817064008796737542
Unmai_Pithan;2017-01-05 23:12;0;0;"If no #Jallikattu - #BoycottTheatres (Hit them-where it pains) common man kandukatha media uvm kutamum tana varum parunga pic.twitter.com/C6TrZ9RxAl";;;#Jallikattu #BoycottTheatres;"817063800570572801";https://twitter.com/Unmai_Pithan/status/817063800570572801
TamilanCommon;2017-01-05 23:11;0;0;"If they could disobey means then we too can disobey regarfing #jallikattu #weneedJallikattu https:// twitter.com/pttvonlinenews /status/817060357709631488 …";;;#jallikattu #weneedJallikattu;"817063556835344384";https://twitter.com/TamilanCommon/status/817063556835344384
Unmai_Pithan;2017-01-05 23:11;0;0;"If #Jallikattu rule nt dne b4Jan 10- #BoycottTheatres (Hit them-where it pains) common manku kandukatha media uvm kutaum eepudi varum parunga pic.twitter.com/tAeronZ3gW";;;#Jallikattu #BoycottTheatres;"817063392909414404";https://twitter.com/Unmai_Pithan/status/817063392909414404
imhariramkumar;2017-01-05 23:07;0;0;"#Jallikattu TNneedsJallikattu";;;#Jallikattu;"817062499249954817";https://twitter.com/imhariramkumar/status/817062499249954817
skarthikkvk95;2017-01-05 23:07;1;1;"10 ஆண்டுகளில், 100000 மாடுகள் அழிக்கபட்டன. எஞ்சிய 7000 மாடுகள் அழிக்கப்பட உள்ளன. எழுந்து நில் ! #jallikattu #banpeta pic.twitter.com/jKJkfk61As";;;#jallikattu #banpeta;"817062415850356737";https://twitter.com/skarthikkvk95/status/817062415850356737
ramyakoman;2017-01-05 23:06;0;1;"@PetaIndia plz first see the vedio of MP Mr.Tharun Vijays vedio supporting #jallikattu . U cant fool everyone..";;@PetaIndia;#jallikattu;"817062182982742016";https://twitter.com/ramyakoman/status/817062182982742016
Unmai_Pithan;2017-01-05 23:06;0;0;"- Great bro!! #Jallikattu rule not done before Jan10- our village will #BoycottTheatres (then all from industry wl join)";;;#Jallikattu #BoycottTheatres;"817062107569094657";https://twitter.com/Unmai_Pithan/status/817062107569094657
