"Cluster_no","Tweet_ID"
4,2013
4,2016
4,2020
4,2021
4,2025
4,2026
4,2028
4,2033
4,2035
4,2038
4,2039
4,2042
4,2043
4,2044
4,2046
4,2048
4,2051
4,2054
4,2056
4,2057
4,2058
4,2059
4,2060
4,2064
4,2065
4,2067
4,2068
4,2069
4,2070
4,2074
4,2075
4,2076
4,2077
4,2079
4,2080
4,2082
4,2083
4,2084
4,2085
4,2086
4,2087
4,2088
4,2089
4,2090
4,2091
4,2092
4,2093
4,2097
4,2098
4,2099
4,2101
4,2102
4,2103
4,2104
4,2105
4,2106
4,2107
4,2108
4,2109
4,2111
4,2112
4,2113
4,2114
4,2117
4,2118
4,2119
4,2120
4,2121
4,2122
4,2123
4,2124
4,2126
4,2127
4,2128
4,2129
4,2130
4,2132
4,2133
4,2134
4,2135
4,2138
4,2139
4,2140
4,2142
4,2164
4,2170
4,2186
4,2198
4,2203
4,2240
4,2243
4,2261
4,2263
4,2276
4,2312
4,2317
4,2331
4,2336
4,2339
4,2379
4,2418
4,2446
4,2455
4,2456
4,2519
4,2602
4,2666
4,2718
4,2725
4,2750
4,2756
4,2763
4,2864
4,2876
4,3130
4,3187
4,3218
4,3416
4,3422
4,3436
4,3444
4,3470
4,3479
4,3486
4,3493
4,3497
4,3498
4,3499
4,3508
4,3511
4,3519
4,3538
4,3551
4,3553
4,3555
4,3557
4,3562
4,3565
4,3577
4,3578
4,3579
4,3580
4,3582
4,3589
4,3591
4,3644
4,3705
4,3736
4,3766
4,3798
4,3818
4,3823
4,3843
4,3928
4,3939
4,3970
4,3986
4,3991
4,3992
4,4013
4,4023
4,4077
4,4132
4,4183
4,4205
4,4461
4,4576
4,4595
4,4633
4,4687
4,4732
4,4756
4,4833
4,4908
4,4910
4,4915
4,4996
4,5018
4,5073
4,5075
4,5078
4,5079
4,5080
4,5089
4,5114
4,5146
4,5255
4,5258
4,5302
4,5411
4,5457
4,5499
4,5583
4,5854
4,6140
4,6534
4,6912
4,7163
4,7331
4,7333
4,7365
4,7415
4,7533
4,7756
4,7861
4,7873
4,7921
4,7936
4,7955
4,8180
4,8188
4,8219
4,8250
4,8268
4,8451
4,8481
4,8493
4,8627
4,8702
4,8703
4,8722
4,8726
4,8745
4,8764
4,8775
4,8801
4,8833
4,8840
4,8871
4,8902
4,8923
4,8926
4,8950
4,8970
4,8975
4,8976
4,8992
4,8995
4,8999
4,9000
4,9004
4,9006
4,9008
4,9009
4,9011
4,9018
4,9020
4,9022
4,9033
4,9035
4,9037
4,9040
4,9049
4,9051
4,9056
4,9058
4,9059
4,9065
4,9071
4,9072
4,9073
4,9075
4,9076
4,9077
4,9078
4,9079
4,9080
4,9081
4,9082
4,9083
4,9086
4,9087
4,9088
4,9090
4,9091
4,9092
4,9094
4,9095
4,9096
4,9097
4,9098
4,9099
4,9100
4,9101
4,9102
4,9104
4,9107
4,9108
4,9110
4,9111
4,9112
4,9113
4,9114
4,9115
4,9117
4,9118
4,9119
4,9120
4,9121
4,9123
4,9168
4,9211
4,9233
4,9276
4,9279
4,9468
4,9487
4,9524
4,9549
4,9582
4,9583
4,9584
4,9608
4,9622
4,9623
4,9673
4,9681
4,9702
4,9759
4,9775
4,9777
4,9793
4,9815
4,9820
4,9842
4,9890
4,9894
4,9901
4,9923
4,10005
4,10016
4,10061
4,10149
4,10218
4,10221
4,10226
4,10245
4,10259
4,10270
4,10289
4,10313
4,10401
4,10428
4,10454
4,10458
4,10560
4,10581
4,10595
4,10624
4,10673
4,10700
4,10710
4,10723
4,10758
4,10762
4,10769
4,10777
4,10779
4,10794
4,10798
4,10813
4,10815
4,10821
4,10824
4,10827
4,10831
4,10837
4,10838
4,10840
4,10841
4,10844
4,10845
4,10854
4,10855
4,10858
4,10859
4,10861
4,10862
4,10863
4,10866
4,10868
4,10869
4,10870
4,10871
4,10873
4,10875
4,10878
4,10879
4,10881
4,10882
4,10883
4,10884
4,10885
4,10888
4,10889
4,10890
4,10893
4,10896
4,10897
4,10898
4,10899
4,10901
4,10902
4,10904
4,10905
4,10906
4,10910
4,10912
4,10914
4,10916
4,10917
4,10919
4,10923
4,10945
4,10987
4,10988
4,11005
4,11010
4,11085
4,11122
4,11153
4,11157
4,11188
4,11190
4,11239
4,11293
4,11296
4,11311
4,11331
4,11336
4,11347
4,11352
4,11445
4,11468
4,11548
4,11578
4,11583
4,11607
4,11621
4,11729
4,11831
4,12230
4,12463
4,12609
4,12634
4,12647
4,12837
4,12852
4,12931
4,12966
4,12975
4,12977
4,13011
4,13033
4,13040
4,13067
4,13136
4,13152
4,13220
4,13245
4,13246
4,13280
4,13293
4,13297
4,13306
4,13315
4,13367
4,13388
4,13408
4,13428
4,13471
4,13480
4,13505
4,13506
4,13545
4,13555
4,13568
4,13572
4,13580
4,13585
4,13594
4,13616
4,13658
4,13726
4,13729
4,13734
4,13766
4,13781
4,13813
4,13818
4,13819
4,13826
4,13831
4,13865
4,13939
4,13973
4,14004
4,14023
4,14029
4,14058
4,14060
4,14094
4,14137
4,14155
4,14161
4,14164
4,14165
4,14168
4,14177
4,14179
4,14180
4,14181
4,14184
4,14195
4,14199
4,14202
4,14206
4,14208
4,14209
4,14212
4,14226
4,14233
4,14235
4,14237
4,14240
4,14243
4,14246
4,14247
4,14251
4,14289
4,14290
4,14297
4,14299
4,14307
4,14309
4,14313
4,14333
4,14359
4,14364
4,14365
4,14367
4,14370
4,14379
4,14386
4,14400
4,14405
4,14424
4,14434
4,14451
4,14467
4,14547
4,14557
4,14593
4,14608
4,14609
4,14632
4,14676
4,14677
4,14724
4,14756
4,14770
4,14862
4,14887
5,142
5,192
5,316
5,374
5,383
5,384
5,441
5,452
5,516
5,517
5,632
5,672
5,682
5,711
5,712
5,779
5,918
5,924
5,925
5,1163
5,1194
5,1273
5,1294
5,1295
5,1327
5,1329
5,1361
5,1382
5,1388
5,1505
5,1506
5,1509
5,1520
5,1526
5,1600
5,1617
5,2205
5,2206
5,2252
5,2290
5,2295
5,2299
5,2350
5,2351
5,2596
5,2603
5,2760
5,2805
5,2815
5,2829
5,2842
5,2843
5,2853
5,2856
5,2858
5,2859
5,2888
5,2893
5,2896
5,2907
5,2915
5,2918
5,2921
5,2944
5,3019
5,3025
5,3033
5,3058
5,3076
5,3081
5,3096
5,3100
5,3118
5,3120
5,3122
5,3126
5,3137
5,3138
5,3143
5,3145
5,3146
5,3147
5,3148
5,3152
5,3154
5,3156
5,3188
5,3189
5,4222
5,4269
5,4270
5,4289
5,4292
5,4293
5,4302
5,4305
5,4547
5,4549
5,4606
5,4737
5,4931
5,4942
5,4943
5,5061
5,5085
5,5369
5,5399
5,6131
5,6700
5,7112
5,7259
5,7298
5,7455
5,7478
5,7483
5,7701
5,7704
5,7705
5,7707
5,7709
5,7715
5,7720
5,7723
5,7726
5,7734
5,7735
5,7738
5,7741
5,7743
5,7744
5,7795
5,7804
5,7805
5,7819
5,7829
5,7831
5,7837
5,7860
5,7901
5,7906
5,7945
5,7947
5,7951
5,7993
5,7998
5,8032
5,8038
5,8041
5,8054
5,8060
5,8083
5,8096
5,8098
5,8099
5,8111
5,8112
5,8116
5,8119
5,8122
5,8158
5,8159
5,8164
5,8179
5,8185
5,8186
5,8190
5,8191
5,8226
5,8230
5,8231
5,8235
5,8240
5,8245
5,8246
5,8252
5,8254
5,8256
5,8259
5,8267
5,8270
5,8272
5,8276
5,8280
5,8282
5,8285
5,8289
5,8294
5,8298
5,8300
5,8302
5,8303
5,8308
5,8313
5,8317
5,8324
5,8328
5,8331
5,8332
5,8333
5,8335
5,8337
5,8422
5,8444
5,8446
5,8449
5,8457
5,8467
5,8468
5,8469
5,8470
5,8480
5,8482
5,8486
5,8487
5,8525
5,8526
5,8540
5,8979
5,8983
5,8984
5,9016
5,9025
5,9103
5,9106
5,9292
5,9311
5,9313
5,9317
5,9319
5,9354
5,9359
5,9373
5,9411
5,9412
5,9451
5,9452
5,9474
5,9488
5,9489
5,9542
5,9550
5,9551
5,9600
5,9617
5,9757
5,10033
5,10034
5,10050
5,10052
5,10058
5,10059
5,10072
5,10134
5,10140
5,10141
5,10176
5,10194
5,10220
5,10222
5,10223
5,10394
5,10518
5,10653
5,10696
5,10703
5,10712
5,10714
5,10734
5,10736
5,10749
5,10778
5,11041
5,11748
5,11756
5,11785
5,11788
5,11791
5,11809
5,11818
5,11820
5,11837
5,11902
5,11906
5,12024
5,12100
5,12105
5,12193
5,12197
5,12921
5,12957
5,13049
5,13078
5,13365
5,13393
5,13394
5,13396
5,13401
5,13409
5,13410
5,13436
5,13513
5,13526
5,13532
5,13554
5,13557
5,13558
5,13559
5,13560
5,13561
5,13576
5,13582
5,13583
5,13584
5,13586
5,13587
5,13589
5,13590
5,13591
5,13592
5,13593
5,13595
5,13598
5,13601
5,13603
5,13607
5,13610
5,13611
5,13612
5,13617
5,13619
5,13620
5,13621
5,13624
5,13625
5,13626
5,13628
5,13629
5,13631
5,13633
5,13634
5,13637
5,13638
5,13644
5,13689
5,13691
5,13699
5,13706
5,13707
5,13714
5,13856
5,13857
5,13930
5,13932
5,14011
5,14032
5,14453
5,14455
5,14548
5,14586
5,14587
5,14606
5,14607
5,14618
5,14619
5,14633
5,14634
5,14639
5,14640
5,14647
5,14648
5,14664
5,14666
5,14667
5,14668
5,14672
5,14673
5,14674
5,14675
5,14699
5,14704
5,14707
5,14763
5,14764
5,14861
6,30
6,40
6,55
6,57
6,64
6,65
6,68
6,69
6,70
6,71
6,74
6,76
6,77
6,79
6,80
6,105
6,122
6,124
6,130
6,147
6,170
6,186
6,200
6,215
6,247
6,250
6,251
6,252
6,263
6,267
6,269
6,271
6,273
6,274
6,275
6,276
6,277
6,278
6,280
6,313
6,322
6,337
6,367
6,373
6,394
6,432
6,434
6,446
6,449
6,451
6,457
6,496
6,523
6,524
6,525
6,526
6,529
6,530
6,531
6,581
6,590
6,595
6,618
