"ID;""tweet"";""username"""
"114;""RT @ShashiTharoor: @anandkamal Frankly i dont understand why @narendramodi doesnt address Parlmnt on #Demonetization Its his duty&amp"";""Sourabhprk"""
"115;""RT @_avenu: Teacher: is there anybody who is absent todayNo response Teacher says 100% attendance #Demonetization #App #survey@DonMu¸æçì†º"";""tauhid13"""
"116;""RT @_avenu: Teacher: is there anybody who is absent todayNo response Teacher says 100% attendance #Demonetization #App #survey@DonMu¸æçì†º"";""IamMLK48"""
"117;""RT @kanimozhi: Ts is exactly what Pappu &amp"";""indianmonk1"""
"118;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""Dhriyamana"""
"119;""RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is hurt by #Demonetization as the same has rendered USELESS <ed><U00A0><U00BD><ed><U00B1><U0089> acquired funds No wo¸æçì†º"";""indianmonk1"""
"120;""RT @_avenu: Teacher: is there anybody who is absent todayNo response Teacher says 100% attendance #Demonetization #App #survey@DonMu¸æçì†º"";""DonMufflerMan"""
"121;""RT @Hemant_80: Did you vote on #Demonetization on Modi survey app"";""shubhamamdhare"""
"122;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""SSP79"""
"123;""RT @pGurus1: #Demonetization move of Modi"";""shobhanpounikar"""
"124;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""harishchawla74"""
"125;""Aam aadmi punished for sins of #blackmoney hoarders SBI slashes deposit rates by 19% #Demonetization #netascashin https:tcorqjsdiGvcG"";""anilrai"""
"126;""Teacher: is there anybody who is absent todayNo response Teacher says 100% attendance #Demonetization #App #survey@DonMufflerMan <ed><U00A0><U00BD><ed><U00B8><U0082><ed><U00A0><U00BD><ed><U00B8><U0080><ed><U00A0><U00BD><ed><U00B8><U00A0><ed><U00A0><U00BD>"";""_avenu"""
"127;""RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization 5 lakh response in 24 hrs 90% supports note ban #MeraDeshBadalRaha¸æçì†º"";""aashish81us"""
"128;""RT @ANI_news: The queues are not getting longer but are getting shorter day by day: Chanda KocharICIC MD and CEO #demonetization https:t¸æçì†º"";""Jodhpur_Blue"""
"129;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""deeptiyvd"""
"130;""RT @karnataka_ioc: @indianoilcl giving cash through Mini ATMs to people in Hinterland #IndiaKaDil Helping rural people in #Demonetization¸æçì†º"";""ioclpunjab"""
"131;""RT @Hemant_80: Did you vote on #Demonetization on Modi survey app"";""aawara_aatma"""
"132;""RT @PIB_India: Watch briefing on #Demonetization by DEA Secy @DasShaktikanta this morning here:https:tcoTDj2A6uO5u"";""rathoreaja"""
"133;""@DeshhBhakt seems deskbhakt was in hibernation mode when GPS enabled 2000 rs was launched by #Modo 4 #demonetization <ed><U00A0><U00BD><ed><U00B8><U0082><ed><U00A0><U00BD><ed><U00B8><U0082><ed><U00A0><U00BD><ed><U00B8><U0082>@MonaAmbegaonkar"";""bhau_rokthok"""
"134;""RT @roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poortradehttps:t¸æçì†º"";""aniljothomas"""
"135;""RT @Hemant_80: Did you vote on #Demonetization on Modi survey app"";""centreofleft"""
"136;""RT @dhrumilpatel: Looks Ambit Capital literally Choked with #demonetization comeon U cant lower d GDP nos by huge marginPerhaps they¸æçì†º"";""anuuragjain"""
"137;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""Pavanpavs254"""
"138;""RT @bi_india: @airtelindia takes a bite of the governemnt big #demonetization pie becomes first #paymentbank to go livehttps:tcogZv¸æçì†º"";""BeLogicalPlz"""
"139;""RT @harshkkapoor: #DeMonetization survey results after 24 hours5Lacs opinionsAmazing response&amp"";""Thenirajpandey"""
"140;""RT @ModiBharosa: Huge support for PM @narendramodi ¸æå£§ºs #demonetization Move Across the Nation 8086% people back demonetization: Cvoter su¸æçì†º"";""rranjan733"""
"141;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""barundebbarun"""
"142;""RT @roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poortradehttps:t¸æçì†º"";""guesthousesgoa"""
"143;""The opposition is getting troubled because all their #BlackMoney have become just a piece of paper due to #demonetization #<U092C><U0940><U092E><U093E><U0930>_<U0935><U093F><U092A><U0915><U094D><U0937>"";""AjayGrover29"""
"144;""RT @roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poortradehttps:t¸æçì†º"";""BhaanuWrites"""
"145;""RT @roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poortradehttps:t¸æçì†º"";""JoinAAP"""
"146;""RT @roshankar: Harvards Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poortradehttps:t¸æçì†º"";""aapdelhincr"""
"147;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""anil_tikar2"""
"148;""@sritara @GabbbarSingh @sidin Please read alternative side of story also on #Demonetization &amp"";""Dhriyamana"""
"149;""The effect of #DeMonetization has already shared by @narendramodi #Action are more important than words¸æçì†º https:tcoTbCC8S5ETc"";""SShettyy007"""
"150;""RT @ShashiTharoor: Joined the line of Opposition MPs demonstrating solidarity on #demonetization &amp"";""Tinni_Aphrodite"""
"151;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""akash_8"""
"152;""After much contemplation I have come to the conclusion that nothing explains Modis #DeMonetization better than monumental stupidity"";""NilimDutta"""
"153;""RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp"";""san_selene"""
"154;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""laxmisagarnitw"""
"155;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""pushpa_sahani"""
"156;""RT @YSRCParty: Days before #Demonetization announcement @ncbn sold his Heritage sharesclearly evident that he had prior knowledge of the¸æçì†º"";""nagrulz"""
"157;""RT @TheOfficialSBI: In view of current situation RTGS time has been extended upto 6:30 PM till 24th November 2016 #Demonetization http¸æçì†º"";""ilapakurthi"""
"158;""RT ZeeNewsSports: #Demonetization: harbhajan_singh gives hilarious shagun suggestion to those struggling with we¸æçì†º https:tcoTaCfmKF3Cs"";""cyberkingtm"""
"159;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""pratimadesh"""
"160;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""abhinavaawara"""
"161;""RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization 5 lakh response in 24 hrs 90% supports note ban #MeraDeshBadalRaha¸æçì†º"";""shweta_ohri"""
