"","retweeters","tweeters","edge_type","weight"
"5023","YouTube","sonicsega2010","Mention_edge",1
"5024","YouTube","sonicstate1","Mention_edge",1
"5025","evanspiegel","sonikasdutta","Mention_edge",1
"5026","ArvindKejriwal","soniya7_","Mention_edge",1
"5027","RitaG74","soniya7_","Mention_edge",1
"5028","YouTube","sonu97849997","Mention_edge",1
"5029","minimathur","sonudax","Mention_edge",1
"5030","evanspiegel","sonujaiswal22","Mention_edge",1
"5031","evanspiegel","sonysin58345885","Mention_edge",1
"5032","narendramodi","sooriks","Mention_edge",2
"5033","evanspiegel","sorabh_in","Mention_edge",1
"5034","…","sorukushwaha","Mention_edge",1
"5035","PrasadAol","sorukushwaha","Mention_edge",1
"5036","rashminp","sorukushwaha","Mention_edge",1
"5037","TarekFatah","sorukushwaha","Mention_edge",1
"5038","evanspiegel","soulscrawls","Mention_edge",1
"5039","…","soumyadeepdebna","Mention_edge",1
"5040","PMOIndia","soumyadeepdebna","Mention_edge",1
"5041","PrasadAol","soumyadeepdebna","Mention_edge",1
"5042","rashminp","soumyadeepdebna","Mention_edge",1
"5043","TarekFatah","soumyadeepdebna","Mention_edge",1
"5044","arvindsubraman","sounddappans","Mention_edge",1
"5045","MartinRavall…","sounddappans","Mention_edge",1
"5046","narendramodi","sourabhlibra","Mention_edge",1
"5047","anandkamal","sourabhprk","Mention_edge",1
"5048","narendramodi","sourabhprk","Mention_edge",1
"5049","evanspiegel","souravshakti","Mention_edge",1
"5050","evanspiegel","souravsunny2","Mention_edge",1
"5051","narendramodi","souravt5656","Mention_edge",1
"5052","YouTube","source108","Mention_edge",1
"5053","mail_today","southasiatimes","Mention_edge",1
"5054","evanspiegel","souvik_007_","Mention_edge",1
"5055","mail_today","souvik_in","Mention_edge",1
"5056","narendramodi","soverignbeera","Mention_edge",1
"5057","evanspiegel","soyeb_patel","Mention_edge",1
"5058","narendramodi","sp141_nith","Mention_edge",1
"5059","evanspiegel","sparnika113","Mention_edge",1
