"","retweeters","tweeters","edge_type","weight"
"10323","womensmarchar","sonyabaker2","Tweet_edge",1
"10324","IMPL0RABLE","sonyawh55919237","Tweet_edge",1
"10325","womensmarch","sooki101","Tweet_edge",1
"10326","womensmarch","sookiepickles","Tweet_edge",1
"10327","LanaParrilla","soolguok","Tweet_edge",1
"10328","yashar","sooriclover","Tweet_edge",1
"10329","womensmarch","soph12399","Tweet_edge",1
"10330","RelatabIe","sophiahuseby","Tweet_edge",1
"10331","6nsinvt","sophialamar1","Tweet_edge",1
"10332","SuhaibSaqib1","sophieak_99","Tweet_edge",1
"10333","womensmarch","sophieinct","Tweet_edge",1
"10334","yashar","sophxlord","Tweet_edge",1
"10335","PopCrave","sorianoivan13","Tweet_edge",1
"10336","msfannye","sorokaste","Tweet_edge",1
"10337","womensmarch","sorryimalice","Tweet_edge",1
"10338","womensmarch","sosezadrienne","Tweet_edge",1
"10339","SNSDMusicFacts","soshiarchive","Tweet_edge",1
"10340","LetStand2Gether","sostarmusic","Tweet_edge",1
"10341","yashar","sostarmusic","Tweet_edge",1
"10342","yashar","souarainhama","Tweet_edge",1
"10343","SNSDMusicFacts","soufflay","Tweet_edge",1
"10344","IMPL0RABLE","souixdog","Tweet_edge",1
"10345","tarafdavis","soulfishersx2","Tweet_edge",1
"10346","RaquelWillis_","soulfulava1","Tweet_edge",1
"10347","zlando","souljaguribyrd","Tweet_edge",1
"10348","womensmarch","soulwhisper2016","Tweet_edge",1
"10349","tessanetting","soundlikeb","Tweet_edge",1
"10350","PopCrave","soundofcompany","Tweet_edge",1
"10351","womensmarch","sourfishfry","Tweet_edge",1
"10352","WrrrdNrrrdGrrrl","sourzitronenhai","Tweet_edge",1
"10353","asamjulian","southernlady111","Tweet_edge",1
"10354","groupiebieber","spacecutiee","Tweet_edge",1
"10355","yashar","spacej_am","Tweet_edge",1
"10356","FeminaSci","spaceofflows","Tweet_edge",1
"10357","TEN_GOP","spaceopossum2","Tweet_edge",1
"10358","pip_news","spaceout6","Tweet_edge",1
"10359","yashar","spacepatterns","Tweet_edge",1
"10360","womensmarch","spacey70","Tweet_edge",1
"10361","SandraTXAS","sparklymarkley","Tweet_edge",1
