"","retweeters","tweeters","edge_type","weight"
"9370","joekeene","rachelpiasecki","Tweet_edge",1
"9371","joekeene","rachelym_","Tweet_edge",1
"9372","waitingroom8008","rachismo1","Tweet_edge",1
"9373","joekeene","rachwurm","Tweet_edge",1
"9374","gatecrasher257","racoconcond1977","Tweet_edge",1
"9375","ThePatriot143","racuevas","Tweet_edge",1
"9376","Charles_HRH","racyte70","Tweet_edge",1
"9377","funder","radar_below","Tweet_edge",1
"9378","countrycottage2","radarr1","Tweet_edge",1
"9379","RepStevenSmith","radgrannyks","Tweet_edge",1
"9380","TheLinkTweet","radhivyah","Tweet_edge",1
"9381","NewWaveArmy","radical_scott","Tweet_edge",1
"9382","pnehlen","radicalgrambo","Tweet_edge",1
"9383","SandraTXAS","radicalgrambo","Tweet_edge",1
"9384","IvankaTrump","radiopatriot","Tweet_edge",3
"9385","GrrrGraphics","radiosong94","Tweet_edge",1
"9386","theoneprinceton","rae_decuir","Tweet_edge",1
"9387","GayRepublicSwag","raeganlady","Tweet_edge",1
"9388","pnehlen","raeganlady","Tweet_edge",1
"9389","TEN_GOP","raeganlady","Tweet_edge",1
"9390","joekeene","rafaendo","Tweet_edge",1
"9391","ThePatriot143","rafat777","Tweet_edge",2
"9392","joekeene","ragekagekitten","Tweet_edge",1
"9393","theamzi","raggedfrank","Tweet_edge",1
"9394","Mahindra_USA","raghuwanshi20","Tweet_edge",1
"9395","ThePatriot143","ragnarvikingson","Tweet_edge",1
"9396","Charles_HRH","raigemoore","Tweet_edge",1
"9397","notoriousgnb","rainbowholtz","Tweet_edge",1
"9398","3lectric5heep","raincoatgirl_","Tweet_edge",1
"9399","AngryBlackLady","raininblack","Tweet_edge",1
"9400","AltNatParkSer","rainstormmelody","Tweet_edge",1
"9401","AltNatParkSer","raisedbyculture","Tweet_edge",1
"9402","pnehlen","raisedbytexans","Tweet_edge",1
"9403","BreitbartNews","raisedright120","Tweet_edge",1
"9404","funder","rajalowe","Tweet_edge",1
"9405","Charles_HRH","rajivpvyas","Tweet_edge",1
"9406","TEN_GOP","rajuncajun63","Tweet_edge",1
"9407","joekeene","rally666","Tweet_edge",1
"9408","BBCBreaking","ralph_smoke_b","Tweet_edge",1
"9409","AltNatParkSer","ralphandalice","Tweet_edge",1
"9410","djt_america","ralphshields313","Tweet_edge",1
"9411","NBCNews","raltakuvi1986","Tweet_edge",1
"9412","ThePatriot143","ram_ultravue","Tweet_edge",1
"9413","NikkiBurdine","ramadasa1977","Tweet_edge",1
"9414","Acosta","ramiromanowar","Tweet_edge",1
"9415","DivDas22","ramonal222","Tweet_edge",1
"9416","AbbTakk","ranakhalid1122","Tweet_edge",1
"9417","3lectric5heep","randell93651","Tweet_edge",1
"9418","ThePatriot143","randell93651","Tweet_edge",1
"9419","pnehlen","randiann3_randi","Tweet_edge",1
"9420","funder","randibaker01","Tweet_edge",1
"9421","NiggaCommentary","randomcable","Tweet_edge",1
"9422","ThePatriot143","randompatriot","Tweet_edge",1
"9423","countrycottage2","randy_dahl","Tweet_edge",1
"9424","HazSpur92","randy_diamond","Tweet_edge",1
"9425","OldRowOfficial","ranewk13","Tweet_edge",1
"9426","laurasgoldman","rangerfit","Tweet_edge",1
"9427","ThePatriot143","rangerwomen","Tweet_edge",1
"9428","BatmanNewsCom","rapote","Tweet_edge",1
"9429","NkirukaNistoran","rapuruchukwub","Tweet_edge",1
"9430","iiLoveKARMA_","raquelmich_","Tweet_edge",1
"9431","GrrrGraphics","rare_pp","Tweet_edge",1
"9432","pnehlen","rarepepe88","Tweet_edge",1
"9433","pnehlen","rasdee11","Tweet_edge",1
"9434","WW2Facts","rasjawa","Tweet_edge",1
"9435","TheMercedesXXX","rationaijustice","Tweet_edge",1
"9436","misslizaface","ratnerlynn","Tweet_edge",1
"9437","RepStevenSmith","ratnerlynn","Tweet_edge",1
"9438","lilsister7","rattlesnake_kel","Tweet_edge",1
"9439","funder","raultorres2000","Tweet_edge",1
"9440","GrrrGraphics","rautedesgrauens","Tweet_edge",1
"9441","3lectric5heep","ravenhuwolf","Tweet_edge",1
"9442","3lectric5heep","rawlingsbob","Tweet_edge",1
"9443","Khanoisseur","ray_nassar","Tweet_edge",1
"9444","countrycottage2","rayanvar","Tweet_edge",1
"9445","realDonaldTrump","raybae689","Tweet_edge",1
"9446","EricTrump","raybaez2","Tweet_edge",1
"9447","realDonaldTrump","raybaez2","Tweet_edge",1
"9448","RichardAngwin","rayettefuss","Tweet_edge",1
"9449","ThePatriot143","rayh423","Tweet_edge",1
"9450","joekeene","raykeck14","Tweet_edge",1
"9451","avanconia","raymoz50","Tweet_edge",1
"9452","OfficialCRNT","rayray180","Tweet_edge",1
"9453","IanPTrait","raytullettstory","Tweet_edge",1
"9454","SwearingSport","raz__mari","Tweet_edge",1
"9455","FunnyVines","raznix_786","Tweet_edge",2
"9456","AngryBlackLady","razzleberry_e","Tweet_edge",1
"9457","ThePatriot143","razzleberry6769","Tweet_edge",1
"9458","ThePatriot143","razzlenrose","Tweet_edge",1
"9459","pnehlen","rbaindourov","Tweet_edge",1
"9460","pnehlen","rbee119","Tweet_edge",1
"9461","AlwaysActions","rbekhore","Tweet_edge",1
"9462","ThePatriot143","rbijr","Tweet_edge",1
"9463","seanspicer","rbk808","Tweet_edge",1
"9464","AltNatParkSer","rbmumsie","Tweet_edge",1
"9465","pnehlen","rbobca","Tweet_edge",1
"9466","EmilyPrentiss09","rcc1313","Tweet_edge",1
