,retweeters,tweeters,edge_type,weight
8953,URautelaForever,suhailkhan2004,Tweet_edge,1
8954,AnandM25_TNIE,suhana41,Tweet_edge,1
8955,asiannewsindia,suhana41,Tweet_edge,1
8956,centerofright,suhana41,Tweet_edge,1
8957,DrShobha,suhana41,Tweet_edge,1
8958,gauravcsawant,suhana41,Tweet_edge,1
8959,JaiPoswal1995,suhana41,Tweet_edge,1
8960,Joydeep_911,suhana41,Tweet_edge,1
8961,madskak,suhana41,Tweet_edge,1
8962,ModiBharosa,suhana41,Tweet_edge,2
8963,News_Pictures1,suhana41,Tweet_edge,1
8964,tweetmods,suhana41,Tweet_edge,1
8965,bjpsamvad,suhanabhavishya,Tweet_edge,1
8966,URautelaForever,suhani2711,Tweet_edge,1
8967,HumorMinistry,suhaskaadu,Tweet_edge,1
8968,Joydeep_911,suhruth2007,Tweet_edge,1
8969,ChickenBiryanii,suitablydumb,Tweet_edge,1
8970,NG_withINC,sujaljainindia,Tweet_edge,1
8971,moneycontrolcom,sujaykkumaar,Tweet_edge,1
8972,ippatel,sujitchandran,Tweet_edge,1
8973,ModiBharosa,sujitchandran,Tweet_edge,1
8974,rahulroushan,sujitchandran,Tweet_edge,2
8975,ajaymaken,sujitkumar5555,Tweet_edge,2
8976,rssurjewala,sujitkumar5555,Tweet_edge,2
8977,vinaydokania,sujitkumar5555,Tweet_edge,1
8978,TheModiEra,sujitmo77246284,Tweet_edge,1
8979,Nr_Shiralkar,sujninni,Tweet_edge,1
8980,Ra_THORe,sujoykabiraj,Tweet_edge,1
8981,DrKumarVishwas,sukhadevsangale,Tweet_edge,1
8982,rssurjewala,sukhiim,Tweet_edge,1
8983,ShashiTharoor,sukhiim,Tweet_edge,1
8984,Nr_Shiralkar,sukhjee61679745,Tweet_edge,1
8985,Glibs_Media,sukhnandanbanj2,Tweet_edge,1
8986,Vidyut,sukhvindershahi,Tweet_edge,1
8987,RoflGandhi_,sulaimandelhvi,Tweet_edge,1
8988,rssurjewala,sumamaiyc,Tweet_edge,1
8989,ModiBharosa,sumanchhina,Tweet_edge,1
8990,priyaakulkarni2,sumantharbi,Tweet_edge,1
8991,jamewils,sumants,Tweet_edge,1
8992,gauravcsawant,sumiitsharma,Tweet_edge,1
8993,gauravcsawant,sumit1221,Tweet_edge,1
8994,5Forty3,sumitbajoria,Tweet_edge,2
8995,sumitbhati2002,sumitbhati2002,Tweet_edge,1
8996,Ra_THORe,sumitbisht027,Tweet_edge,1
8997,DrKumarVishwas,sumitmahato22,Tweet_edge,1
8998,rahulroushan,sumitnda,Tweet_edge,1
8999,ModiBharosa,sumitsahu_ss,Tweet_edge,1
9000,AnandM25,sumitsharma_91,Tweet_edge,1
9001,URautelaForever,sumitsi396,Tweet_edge,1
9002,Lukewearechange,summerbreeze712,Tweet_edge,1
9003,Sarah__Reynolds,summerbreeze712,Tweet_edge,1
9004,SheenuDr,summermerin,Tweet_edge,1
9005,URautelaForever,sumodkuhar,Tweet_edge,1
9006,TimesNow,sunandambal,Tweet_edge,1
9007,Joydeep_911,sunbrowneye1984,Tweet_edge,1
9008,centerofright,sunbyt,Tweet_edge,1
9009,gauravcsawant,sunbyt,Tweet_edge,1
9010,ShefVaidya,sundarraajann,Tweet_edge,1
9011,5Forty3,sundeepkpal,Tweet_edge,2
9012,rahulroushan,sundeepkpal,Tweet_edge,1
9013,DrKumarVishwas,sunderprasad,Tweet_edge,1
9014,URautelaForever,sundiairlifted,Tweet_edge,1
9015,gauravcsawant,sundipkapur,Tweet_edge,1
9016,IamRitzV,sundipkapur,Tweet_edge,1
9017,Sarah__Reynolds,suneconomy,Tweet_edge,1
9018,gauravcsawant,suneelteotia,Tweet_edge,1
9019,ippatel,suneet7954,Tweet_edge,1
9020,tweepul,sunil_abraham,Tweet_edge,1
9021,rssurjewala,sunil_iyc,Tweet_edge,1
9022,rahulroushan,sunil_kashmir,Tweet_edge,1
9023,URautelaForever,sunil007rock,Tweet_edge,1
9024,r_raghuraj,sunilaol2305,Tweet_edge,1
9025,DipendraDipzo,sunilbh22850150,Tweet_edge,1
9026,ModiBharosa,sunilchandora,Tweet_edge,1
9027,ModiBharosa,sunildave1,Tweet_edge,1
9028,BspUp2017,sunilds4444,Tweet_edge,1
9029,CHIRU_NEWS,sunilguts,Tweet_edge,1
9030,avatans,suniljakkaraju,Tweet_edge,1
9031,gsailaja5,suniljha899,Tweet_edge,1
9032,DrKumarVishwas,sunilkr0022,Tweet_edge,1
9033,RoflGandhi_,sunilkrkokcha,Tweet_edge,1
9034,IncomeTaxIndia,sunilkumarratn6,Tweet_edge,1
9035,gauravcsawant,sunilpa92629770,Tweet_edge,1
9036,mahcongress,sunilsakpal6,Tweet_edge,1
9037,rahulroushan,sunilvish12,Tweet_edge,1
9038,saaxenanurag,sunilvish12,Tweet_edge,1
9039,gauravcsawant,sunindi83,Tweet_edge,1
9040,ModiBharosa,sunindi83,Tweet_edge,1
9041,URautelaForever,sunitaa09,Tweet_edge,1
9042,rssurjewala,sunitawilson72,Tweet_edge,1
9043,DrKumarVishwas,sunjayjk,Tweet_edge,1
9044,jan14anurag,sunjayjk,Tweet_edge,1
9045,tweepul,sunna5v,Tweet_edge,1
9046,DrPippaM,sunneversets100,Tweet_edge,1
9047,jeslin_george,sunny24x8,Tweet_edge,1
9048,ashu3page,sunny4aap,Tweet_edge,1
9049,DrKumarVishwas,sunny4aap,Tweet_edge,1
9050,mypoolin,sunnyboyrohit,Tweet_edge,2
9051,URautelaForever,sunnykl1,Tweet_edge,1
9052,mahcongress,sunnyps11,Tweet_edge,1
9053,myvotetoday,sunsomu,Tweet_edge,1
9054,gershwin93,suparna_r,Tweet_edge,1
