,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
4765,RT @Oasis00000: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC  https://t.co/IC7XsFM1cn,FALSE,0,NA,2017-02-05 15:04:35,FALSE,NA,828258023470686000,NA,Twitter for Android,bridgettlthomp,9,TRUE,FALSE,NA,NA
4766,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 15:04:07,FALSE,NA,828257904100786000,NA,Twitter for iPhone,springyardsale,72,TRUE,FALSE,NA,NA
4767,"RT @AltNatParkSer: .@POTUS more people voted to ban you from the UK in the last 12 hours, than turned up to your #Inauguration. Let that si…",FALSE,0,NA,2017-02-05 15:04:00,FALSE,NA,828257876200321000,NA,Twitter for Android,Manyi5,5678,TRUE,FALSE,NA,NA
4768,"RT @JulesKrajewski: Social media is fun for triggering the weak!

#MAGA #Inauguration #TCOT #TheTriggering https://t.co/4w9afgTWPH",FALSE,0,NA,2017-02-05 15:03:51,FALSE,NA,828257836983480000,NA,Twitter for iPad,PrepperPatriots,25,TRUE,FALSE,NA,NA
4769,RT @Oasis00000: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC  https://t.co/IC7XsFM1cn,FALSE,0,NA,2017-02-05 15:03:30,FALSE,NA,828257748575981000,NA,Twitter for Android,Inthemainewoods,9,TRUE,FALSE,NA,NA
4770,RT @ScottBaio: With @SheriffClarke and our lovely wives. @MrsScottBaio #Trump #Inauguration #NYGOP https://t.co/x34ya9GQkv,FALSE,0,NA,2017-02-05 15:03:09,FALSE,NA,828257659883291000,NA,Twitter for Android,WielandRenee,475,TRUE,FALSE,NA,NA
4771,Jeff Rense &amp; Jon Rappoport - The Week That Changed America https://t.co/P8sGsnCw0j #trump #inauguration #intel #MSM,FALSE,0,NA,2017-02-05 15:02:26,FALSE,NA,828257482887791000,NA,Colin's Autotweeterpro5.3,Col_Connaughton,0,FALSE,FALSE,NA,NA
4772,RT @Oasis00000: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC  https://t.co/IC7XsFM1cn,FALSE,0,NA,2017-02-05 15:02:12,FALSE,NA,828257423056109000,NA,Twitter for Android,Mgasp312,9,TRUE,FALSE,NA,NA
4773,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 14:59:09,FALSE,NA,828256653489340000,NA,Twitter Web Client,L0s4,72,TRUE,FALSE,NA,NA
4774,BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC  https://t.co/IC7XsFM1cn,FALSE,5,NA,2017-02-05 14:58:18,FALSE,NA,828256442671002000,NA,Twitter for iPhone,Oasis00000,9,FALSE,FALSE,NA,NA
4775,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 14:57:21,FALSE,NA,828256201158713000,NA,Twitter Web Client,Zwoodbutcher,72,TRUE,FALSE,NA,NA
4776,RT @BridgetMarie: Love when Trump people in #DC for #Inauguration see my hat from afar only to look disappointed when they get close enough…,FALSE,0,NA,2017-02-05 14:57:13,FALSE,NA,828256167260516000,NA,Twitter Web Client,AlTheNextOne,28909,TRUE,FALSE,NA,NA
4777,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 14:55:58,FALSE,NA,828255855061643000,NA,Twitter for iPhone,Swamper60,72,TRUE,FALSE,NA,NA
4778,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 14:55:40,FALSE,NA,828255777756480000,NA,Twitter for iPhone,liszewsk,72,TRUE,FALSE,NA,NA
4779,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 14:55:04,FALSE,NA,828255627973640000,NA,Twitter for iPad,flatwalk,72,TRUE,FALSE,NA,NA
4780,BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC - GotNews https://t.co/yGr9SC3F71,FALSE,0,NA,2017-02-05 14:50:20,FALSE,NA,828254437923623000,NA,Facebook,Ministerofblog,0,FALSE,FALSE,NA,NA
4781,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 14:49:31,FALSE,NA,828254229731082000,NA,Mobile Web (M5),snowlady09,72,TRUE,FALSE,NA,NA
4782,RT @bigblagger: Further footage of #CBBKim at the #Inauguration has leaked #CBB https://t.co/RktmItq316,FALSE,0,NA,2017-02-05 14:49:27,FALSE,NA,828254214598058000,NA,Twitter for Windows,AlisonHeeps,91,TRUE,FALSE,NA,NA
4783,BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC - GotNews https://t.co/XNOEYBuLQB,FALSE,0,NA,2017-02-05 14:48:56,FALSE,NA,828254085673579000,NA,iOS,KESaxonAuthor,0,FALSE,FALSE,NA,NA
4784,"RT @AltNatParkSer: .@POTUS more people voted to ban you from the UK in the last 12 hours, than turned up to your #Inauguration. Let that si…",FALSE,0,NA,2017-02-05 14:48:47,FALSE,NA,828254044443538000,NA,Twitter Web Client,LindaBarrows2,5678,TRUE,FALSE,NA,NA
4785,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 14:48:31,FALSE,NA,828253981050827000,NA,Twitter for Android,marylener9,72,TRUE,FALSE,NA,NA
4786,"RT @IanPTrait: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/eNt97E8adx
#Antifa S…",FALSE,0,NA,2017-02-05 14:47:08,FALSE,NA,828253632990675000,NA,Twitter for Android,amymariewillard,72,TRUE,FALSE,NA,NA
4787,RT @RepStevenSmith: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/wxQ4KJhEkl,FALSE,0,NA,2017-02-05 14:46:44,FALSE,NA,828253529533973000,NA,Twitter for iPhone,KkRothberg,259,TRUE,FALSE,NA,NA
4788,"#Inauguration of #Congress #vision Document #AAPLASANKALP and #BMC Election #Campaign 
@MumCongress @mahcongress… https://t.co/ZGOswu6gka",FALSE,1,NA,2017-02-05 14:43:39,TRUE,NA,828252753038152000,NA,Twitter Web Client,gallinews,0,FALSE,FALSE,NA,NA
4789,"RT @realDonaldTrump: Thank you for a wonderful evening in Washington, D.C. #Inauguration https://t.co/a6xpFQTHj5",FALSE,0,NA,2017-02-05 14:42:46,FALSE,NA,828252531243549000,NA,Twitter for Android,ELVIES23,21249,TRUE,FALSE,NA,NA
4790,BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/orxZ0g1Jpn,FALSE,0,NA,2017-02-05 14:42:06,FALSE,NA,828252364314391000,NA,Twitter Web Client,grannyvan74,0,FALSE,FALSE,NA,NA
4791,RT @Acosta: Pic of hallway in West Wing with Obama photos taken down #Inauguration https://t.co/IYGtKomkWV,FALSE,0,NA,2017-02-05 14:41:27,FALSE,NA,828252200581345000,NA,Twitter for iPhone,lisaluvchild,1631,TRUE,FALSE,NA,NA
4792,When someone else's car because his speech. #Inaugurationday #Inauguration,FALSE,0,NA,2017-02-05 14:41:04,FALSE,NA,828252102694683000,NA,mikestooksbot,mikestooksbot,0,FALSE,FALSE,NA,NA
4793,It's #SuperBowlSunday but im still celebrating #Inauguration Day.,FALSE,0,NA,2017-02-05 14:37:11,FALSE,NA,828251126411600000,NA,Twitter for Android,HydroTech12,0,FALSE,FALSE,NA,NA
4794,"RT @FashNova: Full list of 231 neo-communist thugs arrested on #Inauguration riots in DC.

.
#AltRight #AntiFa
https://t.co/VfRzRmfHQW",FALSE,0,NA,2017-02-05 14:34:39,FALSE,NA,828250487409504000,NA,Twitter for iPhone,DanRoseAtty,11,TRUE,FALSE,NA,NA
4795,RT @3lectric5heep: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/qDU1oBXMOj,FALSE,0,NA,2017-02-05 14:33:26,FALSE,NA,828250185042113000,NA,Twitter for Android,karmadcha,405,TRUE,FALSE,NA,NA
4796,RT @3lectric5heep: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/qDU1oBXMOj,FALSE,0,NA,2017-02-05 14:33:16,FALSE,NA,828250141467369000,NA,Twitter for Android,AJMcGuire4,405,TRUE,FALSE,NA,NA
4797,RT @3lectric5heep: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/qDU1oBXMOj,FALSE,0,NA,2017-02-05 14:32:31,FALSE,NA,828249951159202000,NA,Twitter for Android,REALMATHEW,405,TRUE,FALSE,NA,NA
4798,"RT @AltNatParkSer: .@POTUS more people voted to ban you from the UK in the last 12 hours, than turned up to your #Inauguration. Let that si…",FALSE,0,NA,2017-02-05 14:31:53,FALSE,NA,828249795215106000,NA,Twitter Web Client,geoffwisner,5678,TRUE,FALSE,NA,NA
4799,"RT @waitingroom8008: When Hillbots realized they actually did need Bernie supporters.
#Inauguration #BernieWouldaWon https://t.co/QqAOrr34eT",FALSE,0,NA,2017-02-05 14:31:26,FALSE,NA,828249678009491000,NA,Twitter for Android,RizviSalim,50,TRUE,FALSE,NA,NA
4800,"RT @JoeBravoYo: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC - GotNews
https://t.co/kGQCPNupfL",FALSE,0,NA,2017-02-05 14:30:36,FALSE,NA,828249469560951000,NA,Twitter Web Client,OraProNobis1954,1,TRUE,FALSE,NA,NA
4801,"RT @Adeodatus: In case we needed reminding for #Trump #Inauguration. 
""Tyranny born out of democracy"" https://t.co/ZrM5kxeMeR",FALSE,0,NA,2017-02-05 14:30:33,FALSE,NA,828249457120653000,NA,Twitter for Android,jojayah87,6,TRUE,FALSE,NA,NA
4802,"RT @Adeodatus: In case we needed reminding for #Trump #Inauguration. 
""Tyranny born out of democracy"" https://t.co/ZrM5kxeMeR",FALSE,0,NA,2017-02-05 14:29:33,FALSE,NA,828249204250272000,NA,Twitter for Android,Instas1,6,TRUE,FALSE,NA,NA
4803,The dishonest liberal media refused to show this coverage of Trump's inauguration because they are AFRAID!!! #Trump… https://t.co/KRkWskVWL3,FALSE,1,NA,2017-02-05 14:29:29,TRUE,NA,828249190941749000,NA,Twitter Web Client,Djamil_Belamri,0,FALSE,FALSE,NA,NA
4804,RT @pnehlen: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/6YLE7zM5b8,FALSE,0,NA,2017-02-05 14:26:21,FALSE,NA,828248401011634000,NA,Twitter for iPhone,EverWriting9,938,TRUE,FALSE,NA,NA
4805,RT @TrumpSuperPAC: Barron Trump playing with his baby nephew! Great kid! #Inauguration #InaugurationDay2017 #TRUMP https://t.co/Zt8RYw7Pr2,FALSE,0,NA,2017-02-05 14:25:40,FALSE,NA,828248227036160000,NA,Twitter for iPhone,evbrown88,4552,TRUE,FALSE,NA,NA
4806,BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/pGfI6keLS1,FALSE,0,NA,2017-02-05 14:25:32,FALSE,NA,828248196887564000,NA,Twitter Web Client,mondaevu,0,FALSE,FALSE,NA,NA
4807,RT @WSHHcomedy: <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> just watch #Inauguration https://t.co/KtfkQrBQdH,FALSE,0,NA,2017-02-05 14:24:57,FALSE,NA,828248049436783000,NA,Twitter for iPhone,Tommy_W97,2991,TRUE,FALSE,NA,NA
