"","X","Flow_from_user","Flow_to_user","flow"
"4993","ShirishKunder39","123nida321","ShirishKunder",1
"16147","mahcongress19","126_sonu","mahcongress",1
"16141","mahcongress13","126sudhir","mahcongress",1
"2746","ShashiTharoor160","12anjusri","ShashiTharoor",1
"4006","DrKumarVishwas335","13amit1313","DrKumarVishwas",1
"10812","AdityaNair2034","16vpm","AdityaNair20",1
"9515","akpndy","1824sphurthy","akpndy",0
"15928","sunil1314151","1857penguin","sunil131415",1
"16687","baller_status28","18dMedia","baller_status28",-1
"16690","itswizdom__","18dMedia","itswizdom__",-1
"10370","_MiteshPatel39","18kruti","_MiteshPatel",1
"10350","_MiteshPatel19","18vikaram","_MiteshPatel",1
"10364","_MiteshPatel33","19_vikash","_MiteshPatel",1
"513","gauravcsawant210","1901anupam","gauravcsawant",1
"2054","ModiBharosa221","1901anupam","ModiBharosa",1
"11417","shilpakannan1","1985jay","shilpakannan",1
"336","gauravcsawant33","1986anilshukla","gauravcsawant",1
"11474","ajtnegi","1997INDIAN","ajtnegi",0
"15859","HumorMinistry39","19sbs","HumorMinistry",1
"3943","DrKumarVishwas272","1azharqureshi","DrKumarVishwas",1
"19056","hi_paresh28","1businessrule","hi_paresh",1
"14334","rahulroushan255","1dharmma","rahulroushan",1
"12351","SanklechaD","1karnareddy","SanklechaD",-1
"3100","ShefVaidya19","1karnareddy","ShefVaidya",1
"16568","morphonios2","1lbz1","morphonios",1
"10391","_MiteshPatel60","1ojas","_MiteshPatel",1
"7810","3a6a51b16534495","1Patelzuber","3a6a51b16534495",-1
"9473","afzalkhaniyc","1Patelzuber","afzalkhaniyc",-1
"8586","anchanlata1","1Patelzuber","anchanlata",-1
"8940","annu_philip1","1Patelzuber","annu_philip",-1
"10057","ashfaque156","1Patelzuber","ashfaque156",-1
"7600","delhiite_ggn","1Patelzuber","delhiite_ggn",-1
"9906","farahishabina","1Patelzuber","farahishabina",-1
"8168","furkansayed12","1Patelzuber","furkansayed1",-1
"7734","gops3331","1Patelzuber","gops333",-1
"10152","husainghw","1Patelzuber","husainghw",-1
"7731","manish_manisja1","1Patelzuber","manish_manisja",-1
"8396","mikedesai2","1Patelzuber","mikedesai",-1
"7816","mintyghost","1Patelzuber","mintyghost",-1
"9851","patelsarfaraz68","1Patelzuber","patelsarfaraz68",-1
"8889","prabhakarup11","1Patelzuber","prabhakarup1",-1
"10954","richasharma09711","1Patelzuber","richasharma0971",-1
"4952","sabnis_atmaram1","1Patelzuber","sabnis_atmaram",-1
"7813","sameer4701","1Patelzuber","sameer470",-1
"8908","shabrawmk1","1Patelzuber","shabrawmk1",-1
"8721","shyamlalaggarw12","1Patelzuber","shyamlalaggarw1",-1
"10141","tanim0104","1Patelzuber","tanim0104",-1
"7928","zuber2712","1Patelzuber","zuber2712",-1
"9780","YesIamSaffron2","1shaktiman","YesIamSaffron",1
"14737","RNTata2000","1sunnyelias","RNTata2000",1
"4876","UrjitPatelRBI15","2020katy2020","UrjitPatelRBI",1
"2385","ashu3page11","2023ajith","ashu3page",1
"1364","Hemant_8036","2023ajith","Hemant_80",1
"958","Joydas8","2023ajith","Joydas",1
"19716","PiyushGoyalOffc39","2181viral","PiyushGoyalOffc",1
"13276","URautelaForever442","21century_kant","URautelaForever",1
"14153","rahulroushan74","250praveen","rahulroushan",1
"18007","RitikaSpeaks1","250praveen","RitikaSpeaks",1
"12620","thaneinfo","26arnavsagar","thaneinfo",1
"231","rssurjewala229","27a41de2a89b454","rssurjewala",1
"2719","ShashiTharoor133","27a41de2a89b454","ShashiTharoor",1
"8800","barbarindian31","27amit","barbarindian",1
"14439","5Forty389","2ankitparmar","5Forty3",1
"17065","Timcast106","2coldcoronas","Timcast",1
"2505","ashu3page131","30vineet","ashu3page",1
"4131","centerofright14","3101gp","centerofright",1
"582","gauravcsawant279","311mg","gauravcsawant",1
"2042","ModiBharosa209","34a5912609794c8","ModiBharosa",1
"10377","_MiteshPatel46","38jalpa","_MiteshPatel",1
"5485","1Patelzuber4","3a6a51b16534495","1Patelzuber",1
"13206","URautelaForever372","3idiotsj","URautelaForever",1
"12254","Bhartiya_Invest","3tweetsis1poem","Bhartiya_Invest",0
"2031","ModiBharosa198","4_everabhi","ModiBharosa",1
"14473","5Forty3123","42pi","5Forty3",1
"19812","sri502","44ashish33","sri50",1
"17827","AKOUL47741","454rock","AKOUL4774",1
"14417","5Forty367","4bhi9","5Forty3",1
"15411","AskAnshul29","4bhi9","AskAnshul",1
"15268","muglikar_6","4bhi9","muglikar_",1
"14132","rahulroushan53","4bhi9","rahulroushan",1
"12211","BajajAllianzLIC23","4h_treyu","BajajAllianzLIC",1
"20386","n1rajkumar","4mlvodka","n1rajkumar",0
"15817","JustinSandefur19","4mypeers","JustinSandefur",1
